name,latitude,longitude,dermoscopie,adresse,ville,code_postal,phone,email,description
Pharmacie Anthéa 💊 Totum,43.590615,7.116664,non,,,,,,
PHARMACIE DE LA MADELEINE,48.7613037,0.6395385,non,,,,,,
💊 Pharmacie Avicenne (Etoile),48.9106558,2.427182,non,,,,,,
Pharmacie Martin-Pinel (Hello Pharmacie),45.751066,5.173571,non,,,,,,
PHARMACIE FLIPPE,50.273715,2.7577387,non,,,,,,
Pharmacie Des Fontenelles,48.6680572,-1.9795262,non,,,,,,
Pharmacie de la Colle 💊 Totum,43.684298,7.1086059,non,,,,,,
Pharmacie Grandclément / Hello Pharmacie Villeurbanne,45.7593621,4.8908583,non,,,,,,
Grande Pharmacie de Saint Chamond - Hello Pharmacie,45.475287,4.5087404,non,,,,,,
Pharmacie Calissi (La Rouguière),43.2965302,5.4573689,non,,,,,,
Pharmacie Mola,43.342053,6.6922465,non,,,,,,
💊 Pharmacie de Monestier / Hellopharmacie,44.9211972,5.6368286,non,,,,,,
Grande Pharmacie de Montplaisir Hellopharmacie,45.434648,4.4172843,non,,,,,,
Grande Pharmacie Des Salines - HelloPharmacie,46.6741325,5.5389524,non,,,,,,
Grande Pharmacie De Saint Rambert,45.500038,4.240008,non,,,,,,
Pharmacie de Dagneux,45.8510885,5.0767676,non,,,,,,
Pharmacie de l’Esplanade,48.9330331,2.3551738,non,,,,,,
HelloPharmacie Villefranche,45.9864427,4.7180703,non,,,,,,
Pharmacie de l'Esplanade,43.6556296,3.8812007,non,,,,,,
Pharmacie de L'Arsenal,45.7105732,4.8609179,non,,,,,,
Pharmacie Du Parc well&well,48.8121617,7.7847369,non,,,,,,
Grande Pharmacie de Bellegarde (Hello Pharmacie),46.1059088,5.8217241,non,,,,,,
Grande Pharmacie de Livron - Hello Pharmacie,44.7775132,4.8315452,non,,,,,,
Pharmacie Dournel Fabienne,50.7178173,3.1443394,non,,,,,,
Pharmacie des Plaines 💊 Totum,43.4214162,6.7822786,non,,,,,,
Pharmacie Des Verts Coteaux,48.7683233,2.2522004,non,,,,,,
Ma Pharmacie 💊 Totum,43.175244,5.828836,non,,,,,,
Pharmacie de Piriac,47.3791838,-2.546495,non,,,,,,
Pharmacie Terraillon (Hello Pharmacie),45.7434502,4.9198854,non,,,,,,
Pharmacie Place Fontanges,44.3536212,2.0321867,non,,,,,,
PHARMACIE DES ARTS HELLOPHARMACIE,45.1889479,5.7056554,non,,,,,,
Pharmacie de la Sambuy - Hello Pharmacie Faverges,45.7455634,6.2942788,non,,,,,,
Grande Pharmacie de la Gare (Hello Pharmacie),45.244583,4.6744949,non,,,,,,
💊 Hello Pharmacie Pierre-Bénite Sud,45.6964638,4.8251132,non,,,,,,
PHARMACIE CENTRALE - HELLO PHARMACIE,45.9728598,4.3323219,non,,,,,,
Pharmacie du Mont Signon,44.9856481,4.2257479,non,,,,,,
Pharmacie Saint Michel / HELLO PHARMACIE,45.5891653,5.2784027,non,,,,,,
Pharmacie des vallins,43.4495862,4.936738,non,,,,,,
Pharmacie des Forges,49.991205,4.101169,non,,,,,,
PHARMACIE L'ESPÉRANCE,48.6773033,-1.02186,non,,,,,,
Pharmacie de la Voulte,44.8068372,4.791271,non,,,,,,
